annee,altitude_m,pluviometrie_mm,temperature_moy_C,superficie_ha,utilisation_engrais,acces_irrigation,nb_menages,province_Bujumbura Rural,province_Bururi,province_Cankuzo,province_Cibitoke,province_Gitega,province_Kayanza,province_Kirundo,province_Makamba,province_Muramvya,province_Muyinga,province_Mwaro,province_Ngozi,province_Rutana,province_Ruyigi,culture_Haricot,culture_Manioc,culture_Maïs,culture_Patate douce,culture_Sorgho,saison_B
2021,1775,959.0,20.1,2.97,0.0,0,116,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2018,801,764.7,23.7,4.32,0.0,0,84,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2018,1867,583.7,21.1,3.41,0.0,1,91,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2018,1798,867.2,19.2,2.01,0.0,0,134,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2022,1853,924.9,20.5,3.29,0.0,0,169,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2023,1163,1093.0,21.9,2.25,1.0,1,130,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2016,1811,811.6,19.5,4.18,0.0,0,24,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2021,1075,1061.4,23.1,4.14,0.0,0,52,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2019,1699,609.2,19.7,3.19,0.0,0,175,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
2021,1394,854.2,20.4,1.0,1.0,0,54,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2019,813,880.6,22.3,2.98,1.0,1,156,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2022,1382,579.9,21.9,1.6,0.0,0,148,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2015,1911,851.3,20.7,2.84,0.0,0,135,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2021,762,990.2,24.0,2.76,0.0,0,89,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2017,892,608.4,23.5,3.99,0.0,0,120,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2017,2014,812.2,19.9,2.33,0.0,0,98,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2018,783,891.1,22.8,4.0,0.0,1,20,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2017,1961,653.6,20.9,0.73,0.0,0,20,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2022,1369,714.4,22.1,3.55,0.0,0,25,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2023,1933,806.6,19.0,4.05,0.0,0,77,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2016,1475,794.8,21.4,2.98,0.0,0,44,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
2022,1087,794.6,21.7,3.79,1.0,1,170,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2021,1718,749.0,20.3,2.59,1.0,0,136,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2019,1537,802.2,20.7,3.97,0.0,0,176,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2018,1445,926.8,21.1,2.42,0.0,0,109,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017,1062,572.3,22.3,1.78,0.0,0,23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
2015,1450,895.2,20.8,0.47,0.0,0,63,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
2021,1919,833.7,19.2,0.7,0.0,0,101,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
2016,803,831.9,23.1,2.68,1.0,0,141,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2021,1775,733.9,21.7,2.72,1.0,0,34,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
2020,1501,978.4,20.9,1.4,1.0,0,159,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2020,769,775.0,23.7,1.15,1.0,1,157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2017,800,1084.6,22.8,2.65,0.0,1,180,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,1602,701.1,21.9,4.3,0.0,0,130,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
2021,1406,1124.2,20.7,1.98,1.0,0,46,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2015,1505,778.2,20.2,1.96,1.0,0,100,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2019,1527,724.6,21.1,2.09,0.0,0,118,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2016,1861,866.8,17.8,1.96,1.0,0,59,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2020,1346,823.9,20.6,2.19,0.0,0,47,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2018,1325,752.9,22.1,4.02,0.0,0,156,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
2017,1711,938.5,19.9,0.97,0.0,0,52,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2019,1955,719.4,20.7,3.17,1.0,0,170,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
2019,1953,891.7,18.4,1.4,0.0,0,80,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022,2044,1020.0,20.1,4.26,0.0,0,65,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016,1417,922.5,22.1,4.34,0.0,0,86,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2019,1986,1303.6,19.3,2.26,0.0,0,138,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2016,1480,1010.6,20.2,1.63,1.0,1,93,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,1380,692.0,22.2,4.4,0.0,0,153,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2023,1983,775.5,20.3,2.49,1.0,0,53,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
2020,1772,818.1,20.7,2.15,1.0,0,108,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2019,1782,924.6,19.5,2.37,0.0,0,109,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016,1401,1041.9,21.7,1.49,0.0,0,156,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2020,777,802.5,23.7,1.91,1.0,1,94,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2015,1425,894.1,21.6,3.85,1.0,0,18,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2019,1387,840.2,20.9,0.83,0.0,0,28,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2020,1359,683.0,23.2,0.96,0.0,0,15,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
2021,1530,784.1,18.7,3.2,0.0,0,52,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2022,873,766.7,23.3,3.07,0.0,0,62,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,1440,881.2,19.3,0.71,0.0,0,96,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2023,1437,719.7,20.7,0.4,0.0,0,74,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2020,803,692.6,23.4,2.45,0.0,0,149,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2018,1116,837.9,22.8,3.56,0.0,0,175,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2017,1465,711.3,20.5,2.51,0.0,0,171,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
2015,887,570.7,24.3,3.01,1.0,1,46,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2017,1539,814.8,20.5,1.37,0.0,0,36,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2023,1489,787.0,20.4,2.36,0.0,0,22,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2019,1201,827.5,21.4,2.14,1.0,0,144,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
2016,1457,812.3,21.4,1.97,0.0,1,84,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2022,1230,862.9,22.2,3.78,0.0,0,170,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2017,1383,1041.0,21.9,3.55,1.0,0,158,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016,1987,697.5,19.8,0.53,0.0,0,66,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
2016,1697,755.5,20.9,2.51,1.0,0,66,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2023,1380,817.7,21.3,4.14,0.0,0,28,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
2021,1446,739.1,21.2,3.63,0.0,0,51,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2023,1342,922.0,21.4,0.58,1.0,0,139,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2015,1654,849.2,21.7,3.74,0.0,0,21,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
2022,1472,746.5,21.3,0.49,1.0,0,65,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2017,1788,719.0,19.1,2.62,0.0,0,135,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2018,1373,965.2,23.3,4.18,0.0,0,37,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2016,894,1030.7,23.9,1.22,0.0,0,59,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2019,894,830.0,23.1,1.49,1.0,0,145,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2020,1122,729.7,21.5,3.86,0.0,1,17,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2023,1422,1099.0,23.5,2.17,1.0,0,82,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2020,1155,904.4,21.6,0.63,0.0,0,75,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2018,1530,800.9,20.7,3.46,0.0,0,124,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2020,1690,1052.3,20.9,3.24,0.0,0,76,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2018,1325,844.2,21.1,0.65,1.0,0,48,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2021,790,740.8,22.4,2.72,1.0,1,47,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2017,1810,860.0,20.1,2.4,0.0,0,147,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2017,873,695.4,24.3,4.12,1.0,0,50,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
2015,1419,856.6,20.0,4.38,1.0,0,78,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,1915,807.2,19.2,2.52,0.0,0,16,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
2019,1522,1069.8,22.7,2.82,0.0,0,49,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2017,1693,921.9,20.0,0.66,0.0,0,138,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2022,1976,871.9,20.5,3.23,1.0,0,128,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2021,1678,580.8,21.6,1.3,0.0,0,177,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
2022,754,1117.9,25.2,1.84,0.0,0,161,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2020,1927,731.2,20.3,2.97,1.0,0,92,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2023,1604,810.9,21.1,1.47,0.0,0,102,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2017,1169,659.8,20.5,2.71,0.0,0,140,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
2019,1361,939.0,21.7,3.42,0.0,0,17,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2021,1605,953.5,19.9,4.33,0.0,0,170,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2023,833,804.0,22.9,4.45,0.0,1,20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2015,1954,747.8,20.2,2.7,1.0,0,149,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
2016,1692,937.2,20.7,2.79,0.0,0,27,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016,1052,1070.9,23.6,2.15,1.0,0,66,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2015,1921,957.5,20.6,4.42,0.0,0,166,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016,1721,857.3,20.2,0.63,0.0,0,152,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,1514,631.8,20.5,2.7,0.0,0,129,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
2016,1226,1138.2,22.6,0.35,0.0,0,114,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2018,1158,751.7,20.9,4.1,1.0,0,105,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
2018,1514,776.1,21.0,2.11,0.0,0,72,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
2023,835,663.6,23.1,2.41,0.0,0,151,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2020,1768,710.3,19.8,2.57,0.0,1,112,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2017,1392,809.5,21.3,1.93,0.0,0,142,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
2023,1537,857.7,19.8,3.41,0.0,0,142,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
2016,787,1024.9,23.2,0.67,0.0,1,75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,816,678.7,22.7,1.34,0.0,0,26,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2019,1339,956.0,20.3,0.7,1.0,0,87,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
2019,2004,948.4,20.0,4.36,0.0,0,93,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2019,1618,725.0,21.2,0.86,0.0,1,78,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
2021,805,772.1,23.1,3.2,0.0,1,76,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2017,1667,696.3,20.1,4.4,0.0,0,155,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
2020,1631,738.5,21.3,3.82,0.0,0,74,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
2023,1941,975.9,20.8,4.27,0.0,0,22,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2021,1740,1034.0,20.2,4.25,1.0,0,180,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,1915,826.7,19.8,2.81,1.0,0,144,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
2019,1658,586.7,20.4,1.39,0.0,0,83,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
2016,825,829.9,23.0,1.68,0.0,1,67,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2015,1122,1085.3,21.5,3.41,0.0,0,69,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2021,1486,772.5,20.5,3.38,0.0,0,43,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2016,1366,1083.6,21.5,1.62,0.0,0,98,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,819,624.5,21.9,2.62,1.0,0,50,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2016,1609,791.3,19.0,0.69,0.0,0,138,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
2017,1124,891.5,23.3,0.34,1.0,0,136,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2015,1081,1054.2,23.3,2.85,0.0,0,148,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2015,1967,805.8,20.0,3.61,0.0,0,149,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2016,1686,907.4,20.2,0.61,0.0,0,158,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2018,1362,743.1,21.2,4.21,0.0,0,170,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2015,1456,831.9,22.3,0.51,1.0,0,123,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
2015,749,897.2,24.4,0.78,0.0,0,109,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016,1115,724.6,21.2,2.22,1.0,0,72,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2017,1876,744.2,20.3,3.65,0.0,0,136,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2018,1521,768.1,20.9,3.2,0.0,0,27,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2019,1447,890.0,20.6,0.62,0.0,0,28,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2022,1433,793.4,21.6,3.71,1.0,0,157,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
2015,813,687.1,23.6,1.85,0.0,0,113,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2021,825,918.9,22.7,4.49,0.0,0,159,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2023,1616,808.1,20.2,2.37,0.0,0,151,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2019,1390,702.5,20.6,2.1,0.0,0,176,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2018,1962,936.9,18.3,0.87,0.0,1,32,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2022,1482,758.8,22.1,0.81,1.0,0,130,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2015,1357,810.7,21.3,2.62,0.0,0,97,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2023,796,1041.6,21.8,2.14,0.0,0,110,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2018,826,692.1,22.6,3.08,1.0,1,168,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2023,1379,771.6,21.2,4.34,1.0,0,17,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
2017,1550,730.9,20.6,0.69,0.0,0,153,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2017,1454,681.8,21.7,1.85,0.0,1,124,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2016,1416,702.8,22.2,2.23,0.0,0,144,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2015,828,944.7,22.3,2.33,0.0,0,77,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023,845,720.3,23.6,4.1,1.0,0,124,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2023,1996,844.9,20.2,2.07,0.0,0,179,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2022,1336,1048.8,21.2,2.6,0.0,0,46,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2023,1989,712.6,18.8,2.26,0.0,0,34,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2020,1121,914.4,22.5,4.24,1.0,0,95,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2021,1714,640.8,20.4,0.48,1.0,0,79,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2016,1879,841.9,19.3,2.19,0.0,0,114,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2015,743,854.0,22.9,3.17,0.0,0,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2020,1143,781.3,21.3,0.47,1.0,1,170,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
2017,1727,880.3,20.9,0.68,0.0,1,76,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2020,793,929.4,24.9,3.7,0.0,0,174,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,1479,997.1,21.6,0.59,0.0,0,68,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2018,1639,804.6,20.8,2.33,0.0,0,27,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
